time,position,velocity,accel x,accel y,accel z,mag x, mag y,mag z,gyro x,gyro y,gyro z
2.617,19.9445909,1.246924911,-0.197143555,-0.164550781,-0.917358398,-0.368713379,-0.374328613,-0.389709473,-0.829925537,5.091705322,2.018737793
2.692,20.57349903,1.246924911,-0.057250977,-0.18737793,-1.249633789,-0.195617676,-0.27722168,-0.245727539,-1.173858643,7.536621094,1.906585693
2.737,20.9492814,1.246924911,-0.068603516,-0.029663086,-0.715332031,-0.242492676,-0.19140625,-0.266235352,-2.213134766,7.74597168,2.123413086
2.785,21.35631387,1.246924911,-0.256713867,-0.252197266,-0.918823242,-0.155395508,-0.310791016,-0.248657227,-0.463562012,7.603912354,2.123413086
2.81,21.56022073,1.246924911,-0.337890625,-0.186035156,-1.692871094,-0.12286377,-0.368469238,-0.319946289,-0.919647217,4.605712891,2.287902832
2.915,22.43522335,1.246924911,-0.031860352,-0.029052734,-0.789672852,-0.256103516,-0.455322266,-0.535217285,3.252410889,4.590759277,3.020629883
2.97,22.88913095,1.246924911,-0.016479492,0.038574219,-1.03527832,-0.170776367,-0.422546387,-0.373352051,3.274841309,5.345916748,2.878570557
3.027,23.36178862,1.246924911,0.064941406,-0.182006836,-0.903930664,-0.152160645,-0.467590332,-0.470336914,0.949554443,12.44140625,1.540222168
3.053,23.5719455,1.246924911,-0.018188477,-0.012939453,-0.449829102,-0.193481445,-0.487670898,-0.583679199,1.644897461,19.58175659,2.796325684
3.167,24.52194834,1.246924911,-0.054077148,-0.002563477,-1.322143555,-0.328063965,-0.452697754,-0.458435059,1.532745361,53.78814697,0.530853271
3.27,25.3602321,1.246924911,-0.054199219,-0.052856445,-1.76574707,-0.241760254,-0.397949219,-0.38482666,3.73840332,47.78427124,1.323394775
3.322,25.77351458,1.246924911,-0.172241211,-0.345947266,-2.118286133,-0.218688965,-0.450866699,-0.395324707,6.729125977,48.74130249,0.97946167
3.455,26.79383013,1.246924911,0.032470703,0.48449707,-1.527832031,-0.35333252,-0.339599609,-0.542114258,1.031799316,46.78985596,1.697235107
3.5,27.12117486,1.246924911,-0.165893555,0.060302734,-1.407226563,-0.353088379,-0.356689453,-0.474487305,0.97946167,47.33566284,2.056121826
3.526,27.31023793,1.246924911,-0.187133789,-0.24206543,-1.265258789,-0.368408203,-0.373474121,-0.517150879,0.919647217,46.91696167,0.463562012
3.572,27.63055139,1.246924911,-0.108276367,-0.012329102,-1.575439453,-0.361328125,-0.432434082,-0.43347168,-0.717773438,48.14315796,0.373840332
3.628,28.00633376,1.246924911,-0.203979492,0.070678711,-1.019897461,-0.391967773,-0.398742676,-0.519897461,-0.127105713,40.35232544,1.121520996
3.678,28.32508471,1.246924911,-0.102050781,0.031738281,-1.485351563,-0.425292969,-0.467712402,-0.422302246,-3.611297607,32.85308838,3.132781982
3.733,28.65555445,1.246924911,-0.115966797,-0.078125,-1.072387695,-0.420593262,-0.561828613,-0.411499023,3.641204834,17.15927124,2.923431396
3.816,29.12039959,1.246924911,-0.183837891,-0.124633789,-1.121582031,-0.526611328,-0.274353027,-0.321044922,3.140258789,6.385192871,0.396270752
3.859,29.34540026,1.246924911,-0.030883789,-0.068359375,-0.875976563,-0.532531738,-0.386108398,-0.183288574,0.201873779,5.173950195,2.766418457
3.882,29.46102561,1.246924911,-0.085205078,-0.206420898,-0.729248047,-0.461914063,-0.448730469,-0.123291016,-0.463562012,4.747772217,2.572021484
3.93,29.69774507,1.246924911,-0.059936523,-0.16003418,-0.706665039,-0.286071777,-0.466369629,-0.085388184,1.727142334,5.173950195,3.237457275
3.983,29.94071454,1.246924911,-0.069946289,-0.167236328,-0.92590332,-0.237487793,-0.4140625,-0.253662109,0.88973999,6.093597412,3.058013916
4.009,30.05712114,1.246924911,-0.120727539,-0.026611328,-0.807373047,-0.240112305,-0.399841309,-0.314575195,1.435546875,5.256195068,2.856140137
4.033,30.15790269,1.246924911,-0.048095703,-0.135742188,-0.728027344,-0.274291992,-0.37286377,-0.312438965,1.659851074,5.129089355,2.833709717
4.06,30.26884053,1.246924911,-0.08215332,-0.084594727,-0.736206055,-0.315673828,-0.365478516,-0.37121582,1.308441162,6.258087158,2.407531738
4.219,30.84696725,1.246924911,-0.041748047,-0.059326172,-0.830322266,-0.246765137,-0.466796875,-0.351318359,1.278533936,6.086120605,2.317810059
4.241,30.91571746,1.246924911,-0.103149414,-0.107666016,-0.776367188,-0.249206543,-0.463256836,-0.361694336,0.84487915,7.222595215,2.497253418
4.289,31.05868664,1.246924911,-0.139160156,-0.250976563,-0.48046875,-0.250366211,-0.425109863,-0.390441895,2.370147705,6.250610352,2.699127197
4.336,31.18524952,1.246924911,-0.091796875,-0.086181641,-1.031860352,-0.259887695,-0.37487793,-0.449584961,2.018737793,5.816955566,2.459869385
4.364,31.25712473,1.246924911,-0.015380859,-0.119262695,-0.83972168,-0.284240723,-0.359802246,-0.50592041,2.287902832,5.271148682,2.863616943
4.415,31.37196882,1.246924911,-0.096313477,-0.15222168,-0.782714844,-0.336547852,-0.35168457,-0.526916504,1.764526367,6.168365479,1.988830566
4.467,31.47821914,1.246924911,-0.08190918,-0.108154297,-0.948242188,-0.37298584,-0.354675293,-0.519287109,1.93649292,6.302947998,2.220611572
4.525,31.5805632,1.246924911,-0.087646484,-0.091308594,-0.737670898,-0.394775391,-0.362426758,-0.51965332,1.181335449,6.83380127,2.086029053
4.579,31.65712593,1.246924911,-0.065063477,-0.040893555,-0.818969727,-0.405456543,-0.353088379,-0.545776367,2.041168213,6.65435791,2.497253418
4.601,31.68290725,1.246924911,-0.077636719,-0.048706055,-0.932739258,-0.408447266,-0.352661133,-0.518859863,1.151428223,6.153411865,2.0262146
4.645,31.72978239,1.246924911,-0.043334961,-0.062744141,-0.7421875,-0.413085938,-0.347290039,-0.460754395,2.317810059,6.265563965,2.130889893
4.694,31.76962626,1.246924911,-0.04309082,-0.065307617,-0.866577148,-0.416748047,-0.343078613,-0.48059082,1.966400146,6.489868164,2.0262146
4.718,31.78447006,1.246924911,-0.088745117,-0.050170898,-0.908569336,-0.419128418,-0.335632324,-0.457824707,2.0262146,6.273040771,2.011260986
4.772,31.80712638,1.246924911,-0.054199219,-0.056396484,-0.831665039,-0.417663574,-0.332763672,-0.501708984,1.899108887,6.130981445,2.123413086
4.824,31.81415765,1.246924911,-0.064819336,-0.048828125,-0.882324219,-0.419433594,-0.328369141,-0.502075195,2.160797119,6.160888672,2.063598633
4.878,31.80712638,1.246924911,-0.061279297,-0.065185547,-0.810546875,-0.423156738,-0.334411621,-0.510986328,1.816864014,6.108551025,2.108459473
4.935,31.78368881,1.246924911,-0.044555664,-0.1015625,-0.807250977,-0.418518066,-0.336486816,-0.450866699,2.183227539,6.160888672,2.160797119
4.961,31.76806376,1.246924911,-0.056030273,-0.077636719,-0.861206055,-0.415161133,-0.336914063,-0.509033203,1.383209229,6.332855225,1.861724854
5.003,31.73446991,1.246924911,-0.048583984,-0.054077148,-0.822509766,-0.414855957,-0.344421387,-0.51751709,1.704711914,6.130981445,1.637420654
5.053,31.68290725,1.246924911,-0.041625977,-0.087646484,-0.833984375,-0.409423828,-0.351867676,-0.541137695,1.786956787,6.190795898,1.9140625
5.075,31.65712593,1.246924911,-0.029541016,-0.063232422,-0.74206543,-0.405395508,-0.355163574,-0.481079102,1.128997803,6.071166992,1.772003174
5.128,31.58368821,1.246924911,-0.053588867,-0.040039063,-0.84375,-0.397399902,-0.359436035,-0.524414063,2.04864502,5.944061279,1.330871582
5.178,31.49931296,1.246924911,-0.061889648,-0.001342773,-0.747558594,-0.383605957,-0.356201172,-0.526123047,1.540222168,5.502929688,1.487884521
5.23,31.40009391,1.246924911,-0.04284668,-0.127197266,-0.987060547,-0.349609375,-0.352355957,-0.535522461,2.287902832,6.048736572,1.644897461
